"territory","num_economactivepopulation_all","employed_num_all","unemployed_num_all","eactivity_lvl","employment_lvl","unemployment_lvl","dis_unagegroup_to20","dis_unagegroup_20-29","dis_unagegroup_30-39","dis_unagegroup_40-49","dis_unagegroup_50-59","dis_unagegroup_60older","dis_emagegroup_to20","dis_emagegroup_20-29","dis_emagegroup_30-39","dis_emagegroup_40-49","dis_emagegroup_50-59","dis_emagegroup_60older","num_unagegroup_to20","num_unagegroup_20-29","num_unagegroup_30-39","num_unagegroup_40-49","num_unagegroup_50-59","num_unagegroup_60older","num_emagegroup_to20","num_emagegroup_20-29","num_emagegroup_30-39","num_emagegroup_40-49","num_emagegroup_50-59","num_emagegroup_60older","year"
"Псковская область","350.5","327.3","23.2","68.5","64.0","6.6","2.4","36.4","18.4","17.4","21.5","3.9","0.7","22.0","23.2","23.6","24.7","5.7","0.6","8.4","4.3","4.0","5.0","0.9","2.3","72.0","75.9","77.2","80.8","18.7",2012
"г. Санкт-Петербург","2895.9","2863.0","33.0","73.6","72.8","1.1","2.5","32.9","17.3","24.5","19.6","3.1","0.3","22.2","25.2","22.6","22.3","7.3","0.8","10.9","5.7","8.1","6.5","1.0","8.6","635.6","721.5","647.0","638.4","209.0",2012
"Южный федеральный округ","6993.5","6559.6","433.9","65.6","61.6","6.2","4.5","38.1","21.6","17.7","14.9","3.3","0.8","22.9","25.8","24.1","21.7","4.8","19.5","165.3","93.7","76.8","64.7","14.3","52.5","1502.1","1692.4","1580.9","1423.4","314.9",2012
"Республика Адыгея","204.2","187.7","16.5","61.5","56.5","8.1","1.9","30.2","29.5","22.9","14.8","0.6","0.7","22.6","25.3","25.3","22.2","3.8","0.3","5.0","4.9","3.8","2.4","0.1","1.3","42.4","47.5","47.5","41.7","7.1",2012
"Республика Калмыкия","145.3","126.2","19.1","67.3","58.5","13.1","2.5","31.7","23.5","18.1","23.7","0.4","1.1","25.3","23.4","25.3","21.5","3.4","0.5","6.1","4.5","3.5","4.5","0.1","1.4","31.9","29.5","31.9","27.1","4.3",2012
"Краснодарский край","2633.7","2487.0","146.8","65.2","61.6","5.6","4.3","38.5","21.6","17.2","13.7","4.8","0.6","22.1","26.4","24.1","22.1","4.7","6.3","56.5","31.7","25.2","20.1","7.0","14.9","549.6","656.6","599.4","549.6","116.9",2012
"Астраханская область","518.3","477.3","41.0","67.0","61.7","7.9","4.2","37.8","24.5","17.9","13.1","2.5","1.0","25.0","24.4","22.8","21.6","5.1","1.7","15.5","10.0","7.3","5.4","1.0","4.8","119.3","116.5","108.8","103.1","24.3",2012
"Волгоградская область","1332.3","1251.8","80.4","66.8","62.8","6.0","2.7","38.9","19.6","19.6","18.2","1.0","0.9","23.4","25.8","23.8","21.1","4.9","2.2","31.3","15.8","15.8","14.6","0.8","11.3","292.9","323.0","297.9","264.1","61.3",2012
"Ростовская область","2159.7","2029.6","130.1","65.5","61.5","6.0","6.5","39.1","20.6","16.3","13.5","4.1","0.8","22.8","25.7","24.2","21.5","5.0","8.5","50.9","26.8","21.2","17.6","5.3","16.2","462.7","521.6","491.2","436.4","101.5",2012
"Северо-Кавказский федеральный округ","4485.4","3898.6","586.8","65.3","56.7","13.1","8.4","44.9","20.7","14.8","9.8","1.4","1.8","23.9","26.1","24.7","19.3","4.2","49.3","263.5","121.5","86.8","57.5","8.2","70.2","931.8","1017.5","963.0","752.4","163.7",2012
"Республика Дагестан","1329.2","1173.9","155.3","63.6","56.2","11.7","8.3","45.4","21.0","16.9","7.5","0.9","3.1","25.1","26.6","25.2","16.0","4.1","12.9","70.5","32.6","26.2","11.6","1.4","36.4","294.6","312.3","295.8","187.8","48.1",2012
"Республика Ингушетия","201.9","105.6","96.3","69.1","36.2","47.7","4.0","54.4","20.8","11.6","7.7","1.5","0.2","13.8","26.8","32.0","23.9","3.3","3.9","52.4","20.0","11.2","7.4","1.4","0.2","14.6","28.3","33.8","25.2","3.5",2012
"Кабардино-Балкарская Республика","384.7","350.6","34.1","59.7","54.4","8.9","2.5","46.7","19.0","18.1","12.5","1.1","1.5","21.5","24.6","26.5","19.9","6.0","0.9","15.9","6.5","6.2","4.3","0.4","5.3","75.4","86.2","92.9","69.8","21.0",2012
"Карачаево-Черкесская Республика","237.7","216.5","21.1","67.4","61.4","8.9","2.7","40.4","16.4","18.9","18.9","2.6","0.5","22.5","26.9","26.0","20.8","3.3","0.6","8.5","3.5","4.0","4.0","0.5","1.1","48.7","58.2","56.3","45.0","7.1",2012
"Республика Северная Осетия - Алания","351.7","323.9","27.8","67.2","61.9","7.9","1.0","35.1","21.4","15.2","21.8","5.6","0.5","19.6","25.5","26.3","21.9","6.2","0.3","9.8","5.9","4.2","6.1","1.6","1.6","63.5","82.6","85.2","70.9","20.1",2012
"Чеченская Республика","596.8","418.9","177.9","70.7","49.6","29.8","15.6","44.1","21.2","12.2","6.4","0.6","4.1","29.9","23.8","22.2","16.7","3.3","27.8","78.5","37.7","21.7","11.4","1.1","17.2","125.3","99.7","93.0","70.0","13.8",2012
"Ставропольский край","1383.4","1309.2","74.3","65.1","61.6","5.4","4.7","37.1","20.2","18.5","17.0","2.6","0.7","23.7","26.7","23.5","21.5","3.9","3.5","27.6","15.0","13.7","12.6","1.9","9.2","310.3","349.6","307.7","281.5","51.1",2012
"Приволжский федеральный округ","15715.1","14883.2","831.9","68.6","64.9","5.3","3.6","35.2","22.4","18.1","18.7","2.0","0.8","23.1","25.0","24.5","22.7","3.8","29.9","292.8","186.3","150.6","155.6","16.6","119.1","3438.0","3720.8","3646.4","3378.5","565.6",2012
"Республика Башкортостан","2041.6","1917.8","123.8","66.7","62.7","6.1","3.4","42.4","21.2","16.2","15.7","1.1","0.8","24.5","23.9","25.8","21.9","3.2","4.2","52.5","26.2","20.1","19.4","1.4","15.3","469.9","458.4","494.8","420.0","61.4",2012
"Республика Марий Эл","366.1","342.4","23.8","68.5","64.1","6.5","5.2","36.2","20.8","16.3","19.6","2.0","0.7","23.8","24.1","24.0","23.7","3.6","1.2","8.6","5.0","3.9","4.7","0.5","2.4","81.5","82.5","82.2","81.1","12.3",2012
"Республика Мордовия","456.9","434.5","22.4","70.7","67.2","4.9","1.8","32.2","23.0","19.1","21.1","2.9","1.4","22.9","23.7","24.7","22.3","4.9","0.4","7.2","5.2","4.3","4.7","0.6","6.1","99.5","103.0","107.3","96.9","21.3",2012
"Республика Татарстан","2050.9","1966.3","84.6","70.4","67.5","4.1","4.5","35.2","25.0","17.1","14.8","3.4","0.9","25.4","24.3","24.2","21.1","4.0","3.8","29.8","21.2","14.5","12.5","2.9","17.7","499.4","477.8","475.8","414.9","78.7",2012
"Удмуртская Республика","829.7","779.9","49.8","71.7","67.4","6.0","4.5","32.2","22.3","17.7","20.9","2.5","0.9","24.9","25.0","23.1","22.0","4.1","2.2","16.0","11.1","8.8","10.4","1.2","7.0","194.2","195.0","180.2","171.6","32.0",2012
"Чувашская Республика","655.1","616.8","38.4","68.7","64.7","5.9","5.2","36.4","20.7","19.1","17.4","1.2","1.1","23.1","24.5","25.6","21.8","3.8","2.0","14.0","7.9","7.3","6.7","0.5","6.8","142.5","151.1","157.9","134.5","23.4",2012
"Пермский край","1357.6","1272.7","84.9","67.7","63.5","6.3","3.1","33.8","27.0","18.1","16.7","1.4","0.9","23.1","26.0","24.0","22.0","4.0","2.6","28.7","22.9","15.4","14.2","1.2","11.5","294.0","330.9","305.4","280.0","50.9",2012
"Кировская область","687.7","638.9","48.8","67.6","62.8","7.1","5.4","35.2","23.1","17.0","18.9","0.4","0.8","22.7","25.5","23.7","23.7","3.5","2.6","17.2","11.3","8.3","9.2","0.2","5.1","145.0","162.9","151.4","151.4","22.4",2012
"Нижегородская область","1817.2","1719.1","98.1","71.4","67.5","5.4","2.7","29.7","19.2","17.3","28.1","2.9","0.6","22.9","25.1","23.3","24.5","3.6","2.6","29.1","18.8","17.0","27.6","2.8","10.3","393.7","431.5","400.6","421.2","61.9",2012
"Оренбургская область","1040.3","984.4","56.0","67.6","64.0","5.4","3.2","37.7","21.6","19.2","16.3","2.0","1.4","23.0","25.1","24.5","22.1","3.8","1.8","21.1","12.1","10.8","9.1","1.1","13.8","226.4","247.1","241.2","217.6","37.4",2012
"Пензенская область","702.8","668.3","34.5","65.5","62.3","4.9","2.7","36.1","21.0","18.6","17.9","3.7","0.5","21.3","24.7","24.8","23.8","4.9","0.9","12.5","7.2","6.4","6.2","1.3","3.3","142.3","165.1","165.7","159.1","32.7",2012
"Самарская область","1747.7","1687.7","60.0","69.3","66.9","3.4","6.3","38.0","16.9","18.3","17.1","3.3","0.6","20.4","26.9","24.0","23.7","4.4","3.8","22.8","10.1","11.0","10.3","2.0","10.1","344.3","454.0","405.0","400.0","74.3",2012
"Саратовская область","1281.5","1212.6","69.0","65.8","62.2","5.4","0.9","29.5","25.5","21.9","21.4","0.8","0.5","21.9","26.0","26.0","22.5","3.2","0.6","20.4","17.6","15.1","14.8","0.6","6.1","265.6","315.3","315.3","272.8","38.8",2012
"Ульяновская область","679.8","642.0","37.9","67.7","63.9","5.6","2.0","34.9","26.6","20.1","16.0","0.3","0.7","22.2","23.2","26.0","24.4","3.5","0.8","13.2","10.1","7.6","6.1","0.1","4.5","142.5","148.9","166.9","156.6","22.5",2012
"Уральский федеральный округ","6550.9","6158.7","392.1","70.1","65.9","6.0","5.4","36.7","23.6","15.9","15.8","2.5","0.7","23.6","26.7","23.5","21.6","3.9","21.2","143.9","92.5","62.3","62.0","9.8","43.1","1453.5","1644.4","1447.3","1330.3","240.2",2012
"Курганская область","434.7","397.0","37.7","64.3","58.7","8.7","4.5","35.8","23.0","17.1","18.8","0.8","0.9","21.5","25.1","24.4","23.9","4.3","1.7","13.5","8.7","6.4","7.1","0.3","3.6","85.4","99.6","96.9","94.9","17.1",2012
"Свердловская область","2292.8","2159.5","133.4","69.2","65.2","5.8","7.2","32.3","23.1","17.8","16.5","3.0","0.8","24.2","26.4","22.4","21.3","4.9","9.6","43.1","30.8","23.7","22.0","4.0","17.3","522.6","570.1","483.7","460.0","105.8",2012
"Тюменская область","1944.0","1843.2","100.9","72.3","68.5","5.2","4.6","37.0","24.7","15.5","16.8","1.5","0.6","24.1","27.8","24.8","20.5","2.2","4.6","37.3","24.9","15.6","17.0","1.5","11.1","444.2","512.4","457.1","377.9","40.6",2012
"Ханты-Мансийский автономный округ - Югра","912.8","862.9","49.9","74.5","70.5","5.5","6.2","39.7","25.3","18.8","9.3","0.6","0.8","23.4","28.4","24.8","20.4","2.3","3.1","19.8","12.6","9.4","4.6","0.3","6.9","201.9","245.1","214.0","176.0","19.8",2012
"Ямало-Ненецкий автономный округ","333.0","321.6","11.4","79.0","76.3","3.4","2.7","38.6","17.6","10.2","21.9","9.0","0.4","20.1","30.1","26.8","20.8","1.8","0.3","4.4","2.0","1.2","2.5","1.0","1.3","64.6","96.8","86.2","66.9","5.8",2012
"Челябинская область","1879.3","1759.1","120.2","70.5","66.0","6.4","4.5","41.6","23.3","14.0","13.3","3.4","0.5","22.8","26.3","23.4","22.7","4.3","5.4","50.0","28.0","16.8","16.0","4.1","8.8","401.1","462.6","411.6","399.3","75.6",2012
"Сибирский федеральный округ","9813.1","9116.8","696.3","66.6","61.9","7.1","4.5","36.3","24.5","17.1","15.4","2.2","0.9","23.9","27.0","22.8","21.4","4.0","31.3","252.8","170.6","119.1","107.2","15.3","82.1","2178.9","2461.5","2078.6","1951.0","364.7",2012
"Республика Алтай","99.3","87.8","11.5","67.3","59.5","11.6","4.9","37.9","23.5","19.0","14.2","0.4","0.8","24.6","29.3","22.8","19.5","3.0","0.6","4.4","2.7","2.2","1.6","0.0","0.7","21.6","25.7","20.0","17.1","2.6",2012
"Республика Бурятия","461.7","425.2","36.5","63.9","58.9","7.9","1.3","30.7","29.8","21.1","16.9","0.2","0.9","27.5","27.0","21.4","19.4","3.8","0.5","11.2","10.9","7.7","6.2","0.1","3.8","116.9","114.8","91.0","82.5","16.2",2012
"Республика Тыва","119.6","97.6","22.0","56.5","46.1","18.4","1.1","37.0","35.5","18.6","7.4","0.4","0.9","23.1","30.2","29.1","14.0","2.7","0.2","8.1","7.8","4.1","1.6","0.1","0.9","22.5","29.5","28.4","13.7","2.6",2012
"Республика Хакасия","261.3","240.6","20.8","64.7","59.6","7.9","4.1","36.7","25.6","16.2","14.1","3.5","0.6","22.4","28.0","22.9","22.0","4.1","0.9","7.6","5.3","3.4","2.9","0.7","1.4","53.9","67.4","55.1","52.9","9.9",2012
"Алтайский край","1194.9","1120.5","74.4","65.0","60.9","6.2","2.2","36.4","22.4","18.7","18.9","1.4","0.9","21.1","27.4","22.9","23.8","3.9","1.6","27.1","16.7","13.9","14.1","1.0","10.1","236.4","307.0","256.6","266.7","43.7",2012
"Забайкальский край","531.9","475.6","56.3","64.4","57.6","10.6","5.7","37.1","24.5","17.5","13.2","2.0","1.0","26.1","28.2","21.8","20.1","2.8","3.2","20.9","13.8","9.9","7.4","1.1","4.8","124.1","134.1","103.7","95.6","13.3",2012
"Красноярский край","1512.7","1428.8","84.0","68.6","64.8","5.5","2.5","30.8","31.2","18.4","15.7","1.4","0.9","24.5","26.7","23.3","21.1","3.5","2.1","25.9","26.2","15.5","13.2","1.2","12.9","350.1","381.5","332.9","301.5","50.0",2012
"Иркутская область","1246.1","1148.3","97.8","67.7","62.4","7.8","6.1","37.0","23.0","14.7","17.0","2.1","1.4","25.1","27.0","22.4","19.5","4.5","6.0","36.2","22.5","14.4","16.6","2.1","16.1","288.2","310.0","257.2","223.9","51.7",2012
"Кемеровская область","1401.5","1302.6","98.9","66.7","62.0","7.1","4.9","38.3","23.9","16.5","14.2","2.2","0.8","23.5","27.1","22.5","22.1","3.9","4.8","37.9","23.6","16.3","14.0","2.2","10.4","306.1","353.0","293.1","287.9","50.8",2012
"Новосибирская область","1440.7","1359.9","80.7","69.0","65.1","5.6","1.9","35.3","23.8","18.5","17.3","3.3","0.7","24.6","26.0","21.7","21.7","5.3","1.5","28.5","19.2","14.9","14.0","2.7","9.5","334.5","353.6","295.1","295.1","72.1",2012
"Омская область","1048.8","976.8","72.0","68.8","64.1","6.9","10.7","39.6","16.8","15.2","13.2","4.4","0.7","22.3","25.8","23.5","23.3","4.5","7.7","28.5","12.1","10.9","9.5","3.2","6.8","217.8","252.0","229.5","227.6","44.0",2012
"Томская область","494.5","452.9","41.6","60.0","54.9","8.4","4.7","40.0","23.4","14.4","15.4","2.0","0.6","23.9","29.2","24.9","19.0","2.5","2.0","16.6","9.7","6.0","6.4","0.8","2.7","108.2","132.2","112.8","86.1","11.3",2012
"Дальневосточный федеральный округ","3427.2","3199.0","228.2","69.6","65.0","6.7","4.7","39.5","22.0","17.2","14.2","2.4","0.6","23.0","26.6","23.1","20.6","6.1","10.7","90.1","50.2","39.3","32.4","5.5","19.2","735.8","850.9","739.0","659.0","195.1",2012
"Республика Саха (Якутия)","500.3","460.3","40.0","69.8","64.2","8.0","6.7","46.5","21.2","18.0","6.3","1.3","1.1","24.0","26.0","24.4","20.2","4.3","2.7","18.6","8.5","7.2","2.5","0.5","5.1","110.5","119.7","112.3","93.0","19.8",2012
"Камчатский край","187.6","176.7","10.9","72.9","68.7","5.8","6.6","42.4","20.4","14.9","11.8","3.9","0.5","21.2","26.8","24.3","19.6","7.6","0.7","4.6","2.2","1.6","1.3","0.4","0.9","37.5","47.4","42.9","34.6","13.4",2012
"Приморский край","1060.8","988.0","72.9","68.3","63.6","6.9","3.3","39.0","21.8","18.9","14.5","2.5","0.5","21.8","26.8","23.5","21.0","6.3","2.4","28.4","15.9","13.8","10.6","1.8","4.9","215.4","264.8","232.2","207.5","62.2",2012
"Хабаровский край","745.6","698.0","47.6","69.9","65.4","6.4","5.9","38.3","21.7","15.5","16.1","2.5","0.5","25.0","26.2","21.6","19.5","7.2","2.8","18.2","10.3","7.4","7.7","1.2","3.5","174.5","182.9","150.8","136.1","50.3",2012
"Амурская область","427.4","404.7","22.7","67.3","63.7","5.3","3.5","37.5","25.6","16.1","15.7","1.7","0.6","24.7","26.5","22.7","20.8","4.6","0.8","8.5","5.8","3.7","3.6","0.4","2.4","100.0","107.2","91.9","84.2","18.6",2012
"Магаданская область","99.1","95.7","3.4","79.1","76.4","3.4","1.6","36.4","16.9","10.4","28.8","5.8","0.4","19.3","26.9","23.2","24.5","5.8","0.1","1.2","0.6","0.4","1.0","0.2","0.4","18.5","25.7","22.2","23.4","5.6",2012
"Сахалинская область","285.5","263.7","21.9","72.4","66.9","7.7","3.9","31.2","20.9","19.1","20.8","4.1","0.6","20.9","27.2","22.6","22.0","6.6","0.9","6.8","4.6","4.2","4.6","0.9","1.6","55.1","71.7","59.6","58.0","17.4",2012
"Еврейская автономная область","88.0","80.5","7.4","65.4","59.9","8.5","3.2","43.6","28.5","9.0","14.3","1.3","0.8","21.9","27.6","23.2","20.8","5.7","0.2","3.2","2.1","0.7","1.1","0.1","0.6","17.6","22.2","18.7","16.7","4.6",2012
"Чукотский автономный округ","32.9","31.5","1.4","82.5","78.9","4.3","6.3","31.7","21.7","25.5","10.7","4.1","1.3","20.2","25.7","24.5","22.6","5.7","0.1","0.4","0.3","0.4","0.1","0.1","0.4","6.4","8.1","7.7","7.1","1.8",2012
"Российская Федерация","75528.9","71391.5","4137.4","68.5","64.8","5.5","4.3","36.9","22.0","17.6","16.5","2.7","0.7","22.7","25.9","23.9","22.1","4.7","179.2","1527.6","911.9","727.1","681.4","110.3","507.6","16211.0","18502.1","17064.6","15754.8","3351.4",2013
"Центральный федеральный округ","21007.4","20309.6","697.8","69.9","67.5","3.3","3.5","37.8","21.1","18.7","16.6","2.4","0.4","21.1","26.1","24.3","23.2","5.0","24.1","263.7","147.2","130.3","116.0","16.6","86.8","4275.7","5291.4","4938.7","4708.3","1008.7",2013
"Белгородская область","809.8","777.5","32.2","68.1","65.4","4.0","4.5","34.2","22.0","19.9","15.6","3.8","0.7","22.7","25.4","24.2","23.2","3.8","1.4","11.0","7.1","6.4","5.0","1.2","5.2","176.3","197.6","188.5","180.6","29.4",2013
"Брянская область","638.5","605.1","33.3","66.1","62.6","5.2","2.1","36.4","21.8","21.5","17.5","0.7","0.7","22.8","25.3","25.1","21.7","4.4","0.7","12.1","7.3","7.2","5.8","0.2","4.3","137.7","153.4","151.9","131.1","26.8",2013
"Владимирская область","770.1","740.9","29.2","69.7","67.1","3.8","3.6","35.6","25.0","14.6","18.9","2.4","0.7","22.3","25.0","23.7","22.9","5.4","1.0","10.4","7.3","4.3","5.5","0.7","5.3","165.5","184.9","175.8","169.8","39.7",2013
"Воронежская область","1154.2","1100.0","54.1","64.0","61.0","4.7","3.3","32.7","22.5","19.1","20.0","2.6","0.9","22.1","24.8","24.2","23.5","4.5","1.8","17.7","12.2","10.3","10.8","1.4","9.5","242.8","273.3","266.2","258.8","49.5",2013
"Ивановская область","547.4","518.7","28.7","67.4","63.9","5.2","5.0","29.3","17.4","26.0","17.7","4.5","0.9","23.1","25.5","24.1","21.9","4.6","1.4","8.4","5.0","7.5","5.1","1.3","4.8","119.6","132.4","124.9","113.4","23.6",2013
"Калужская область","552.1","527.4","24.8","70.6","67.4","4.5","7.3","33.0","19.5","22.2","16.0","2.0","0.4","21.3","24.6","23.2","23.8","6.7","1.8","8.2","4.8","5.5","4.0","0.5","2.2","112.2","129.6","122.3","125.7","35.3",2013
"Костромская область","345.5","328.4","17.1","68.6","65.2","4.9","2.5","31.7","21.1","19.5","24.1","1.0","1.1","22.5","24.7","23.8","23.6","4.3","0.4","5.4","3.6","3.3","4.1","0.2","3.5","74.0","81.0","78.1","77.6","14.1",2013
"Курская область","574.6","548.0","26.6","66.9","63.8","4.6","2.9","33.0","22.9","21.4","17.7","2.0","0.6","21.2","24.8","24.5","24.0","4.9","0.8","8.8","6.1","5.7","4.7","0.5","3.3","116.2","135.9","134.2","131.5","27.1",2013
"Липецкая область","612.8","590.4","22.4","68.3","65.8","3.7","4.1","42.8","13.7","16.4","21.1","1.9","0.6","21.7","25.8","25.1","23.4","3.5","0.9","9.6","3.1","3.7","4.7","0.4","3.4","127.8","152.0","148.1","138.1","20.8",2013
"Московская область","3900.2","3792.2","108.0","71.6","69.6","2.8","6.0","38.1","14.1","18.4","19.4","4.0","0.3","20.2","26.4","23.4","23.3","6.4","6.4","41.1","15.3","19.9","21.0","4.3","10.0","767.5","1000.7","887.7","883.3","243.1",2013
"Орловская область","394.1","371.1","23.0","65.6","61.8","5.8","2.4","31.1","24.3","26.8","15.4",,"0.7","22.3","25.2","24.1","22.7","5.0","0.6","7.1","5.6","6.2","3.5",,"2.6","82.6","93.5","89.5","84.4","18.6",2013
"Рязанская область","558.7","532.5","26.1","63.1","60.1","4.7","3.4","37.3","21.7","20.6","15.5","1.5","0.5","21.2","25.6","24.8","23.1","4.7","0.9","9.7","5.7","5.4","4.1","0.4","2.9","113.1","136.5","132.0","123.0","25.0",2013
"Смоленская область","539.3","511.2","28.1","70.4","66.7","5.2","3.8","31.9","21.4","21.8","14.9","6.2","0.4","22.7","24.2","22.8","23.8","6.1","1.1","9.0","6.0","6.1","4.2","1.7","2.1","116.2","123.8","116.6","121.6","31.0",2013
"Тамбовская область","533.2","508.6","24.6","63.7","60.8","4.6","2.3","29.1","23.7","25.5","19.3",,"0.5","20.9","25.1","25.4","24.2","4.0","0.6","7.2","5.8","6.3","4.8",,"2.4","106.2","127.5","129.1","123.2","20.1",2013
"Тверская область","718.0","679.7","38.3","70.0","66.3","5.3","3.1","33.0","20.1","18.7","22.3","2.8","0.6","22.3","24.3","23.4","23.3","6.1","1.2","12.6","7.7","7.1","8.5","1.1","4.4","151.4","165.2","159.0","158.3","41.4",2013
"Тульская область","804.1","770.2","33.9","67.1","64.2","4.2","2.4","36.5","26.2","13.2","18.8","2.9","0.6","21.9","25.6","23.6","21.9","6.4","0.8","12.4","8.9","4.5","6.4","1.0","4.8","168.9","197.1","181.8","168.5","49.1",2013
"Ярославская область","675.4","645.3","30.2","69.1","66.0","4.5","2.0","33.1","22.0","23.2","17.6","2.0","0.5","21.4","26.0","24.0","23.4","4.6","0.6","10.0","6.7","7.0","5.3","0.6","3.4","137.9","168.0","155.1","151.2","29.7",2013
"г. Москва","6879.3","6762.2","117.1","73.1","71.8","1.7","1.4","53.7","24.9","12.0","7.2","0.8","0.2","20.1","27.2","25.1","23.2","4.2","1.7","62.9","29.1","14.0","8.5","0.9","12.9","1359.8","1839.1","1697.9","1568.3","284.4",2013
"Северо-Западный федеральный округ","7580.4","7253.9","326.5","70.9","67.8","4.3","4.4","31.5","22.2","17.9","19.9","4.2","0.5","22.4","25.7","23.4","22.1","5.9","14.4","102.8","72.3","58.4","64.9","13.7","36.0","1627.8","1863.3","1698.0","1604.3","424.5",2013
"Республика Карелия","328.1","301.1","27.0","66.6","61.1","8.2","3.6","25.0","25.4","21.6","21.2","3.2","0.8","23.0","27.0","25.2","19.4","4.6","1.0","6.8","6.8","5.8","5.7","0.9","2.4","69.1","81.3","75.9","58.5","13.8",2013
"Республика Коми","500.3","464.9","35.3","72.0","66.9","7.1","6.8","29.5","22.4","20.5","17.8","3.0","1.0","23.4","27.3","24.0","19.6","4.7","2.4","10.4","7.9","7.3","6.3","1.0","4.6","108.6","127.0","111.5","91.3","21.9",2013
"Архангельская область","630.9","592.7","38.2","67.5","63.4","6.1","6.6","26.2","22.2","20.5","19.9","4.6","0.7","23.8","28.0","23.9","19.6","4.0","2.5","10.0","8.5","7.8","7.6","1.8","4.2","141.0","165.9","141.6","116.0","23.9",2013
"Ненецкий автономный округ","22.8","21.2","1.6","71.8","66.7","7.1","9.9","48.5","17.9","15.1","7.7","0.8","0.6","24.4","29.0","24.0","18.7","3.3","0.2","0.8","0.3","0.2","0.1","0.0","0.1","5.2","6.1","5.1","4.0","0.7",2013
"Вологодская область","628.4","590.2","38.2","68.6","64.5","6.1","3.0","36.6","21.1","18.1","19.3","2.0","0.6","24.7","26.0","23.2","22.2","3.3","1.1","14.0","8.1","6.9","7.4","0.8","3.7","145.7","153.6","136.9","130.8","19.5",2013
"Калининградская область","526.9","497.2","29.7","71.1","67.1","5.6","2.1","37.6","23.9","14.9","16.5","5.1","0.7","22.7","24.2","23.7","21.8","7.0","0.6","11.1","7.1","4.4","4.9","1.5","3.3","112.8","120.3","117.7","108.3","34.9",2013
"Ленинградская область","962.0","921.1","40.9","70.5","67.5","4.3","4.4","32.7","17.8","15.6","22.9","6.5","0.3","21.7","25.4","22.9","24.3","5.5","1.8","13.4","7.3","6.4","9.4","2.7","2.4","199.9","234.1","210.7","223.4","50.5",2013
"Мурманская область","467.6","433.8","33.7","74.4","69.0","7.2","5.0","29.8","25.0","18.3","17.1","4.7","0.6","24.6","26.4","23.6","19.8","5.0","1.7","10.1","8.4","6.2","5.8","1.6","2.6","106.9","114.4","102.6","85.8","21.6",2013
"Новгородская область","336.4","320.9","15.6","70.1","66.8","4.6","4.6","26.6","26.3","15.1","23.2","4.1","0.6","22.8","23.7","23.1","23.9","6.0","0.7","4.1","4.1","2.4","3.6","0.6","1.9","73.0","76.0","74.0","76.7","19.3",2013
"Псковская область","350.9","326.5","24.4","68.6","63.8","7.0","5.8","28.6","20.2","18.9","20.6","5.9","0.7","21.5","23.0","24.0","24.5","6.4","1.4","7.0","4.9","4.6","5.0","1.4","2.2","70.2","74.9","78.3","80.0","20.8",2013
"г. Санкт-Петербург","2848.9","2805.5","43.5","72.5","71.3","1.5","2.5","36.5","21.2","15.3","21.2","3.3","0.3","21.4","25.5","23.1","22.6","7.1","1.1","15.9","9.2","6.7","9.2","1.4","8.9","600.5","715.6","648.8","633.5","198.2",2013
"Южный федеральный округ","6989.8","6537.8","452.0","65.6","61.4","6.5","3.5","35.0","24.0","17.0","16.6","3.8","0.7","22.9","25.7","24.0","21.7","5.1","15.8","158.2","108.4","76.9","75.2","17.4","47.6","1494.8","1678.9","1568.9","1417.3","330.2",2013
"Республика Адыгея (Адыгея)","210.0","193.4","16.6","63.3","58.3","7.9","1.5","33.2","25.2","22.2","16.7","1.2","0.5","22.2","25.7","24.2","22.3","5.1","0.2","5.5","4.2","3.7","2.8","0.2","1.0","43.0","49.6","46.8","43.2","9.8",2013
"Республика Калмыкия","142.1","124.4","17.7","65.8","57.6","12.5","2.2","34.7","21.8","22.4","18.2","0.7","0.7","24.0","23.1","25.1","23.1","3.8","0.4","6.1","3.9","4.0","3.2","0.1","0.9","29.9","28.8","31.3","28.8","4.8",2013
"Краснодарский край","2619.5","2459.5","160.0","64.8","60.9","6.1","2.5","31.9","27.4","17.2","16.1","4.9","0.6","22.3","26.3","24.2","21.8","4.7","4.1","51.0","43.8","27.6","25.7","7.8","15.7","548.8","647.8","595.3","536.9","115.0",2013
"Астраханская область","534.6","494.7","39.8","69.2","64.0","7.5","4.9","37.6","23.5","13.9","17.1","3.0","1.2","23.9","23.9","23.7","21.5","5.8","2.0","15.0","9.4","5.5","6.8","1.2","5.9","118.1","118.1","117.4","106.4","28.8",2013
"Волгоградская область","1345.9","1256.8","89.1","67.5","63.0","6.6","4.2","37.5","20.8","19.9","15.8","1.8","0.9","23.1","25.0","23.4","22.0","5.7","3.7","33.4","18.6","17.7","14.1","1.6","11.8","289.9","314.0","293.8","276.0","71.4",2013
"Ростовская область","2137.6","2008.9","128.7","64.8","60.9","6.0","4.2","36.6","22.2","14.3","17.6","5.0","0.6","23.2","25.9","24.1","21.2","5.0","5.4","47.1","28.6","18.4","22.6","6.5","12.3","465.3","520.5","484.3","426.1","100.4",2013
"Северо-Кавказский федеральный округ","4524.6","3938.5","586.2","65.8","57.3","13.0","7.0","43.9","20.0","16.3","11.3","1.4","2.0","24.4","26.1","24.4","18.9","4.2","41.2","257.6","117.3","95.5","66.2","8.4","79.0","962.6","1027.2","961.6","743.9","164.2",2013
